ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),판단내부저자(인물),작업자,추정상태,추정근거,근거 원문,비고
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 문학작품의 효과 문제: 그랜빌 힉스 뉴 매시즈지에서(중),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 프루스트의 가치는 어떻게 규정할까?: 그랜빌 힉스 뉴 매시즈지에서(하),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,criticize,흙(이광수),3,신문소설 올림픽 시대,,정성훈,Confirmed,즉 그는 근래에 이를스록 그 예술에서 생활을 파악하려고 노력하는 듯 하다는 것이다. 따라서 『흙』이 신문소설로써 성공할른지 말른지는 얼른 단정을 내리기 어렵다. 그러나 氏는 항상 그의 작품의 周團에 엇던 유형의 一群의 독자를 吸引하고 잇다. 그럼으로 『端宗哀史』의 충실한 독자를 氏는 『흙』에 잇어서도 일허버리지 안코 잇으리라.,,
,김기림,criticize,마도의 향불,2,신문소설 올림픽 시대,,정성훈,Confirmed,결국이 소설도 폭로소설인 듯한 표제가 암시하는 목적은 거두지 못하고 말지나 안을가 보아서 『香불』의 압길이 걱정된다.,,
,김기림,criticize,임거정전,4,신문소설 올림픽 시대,,정성훈,Confirmed,고름과 가티 別段이 긴장이 없는 (또 취할 것이 없는) 시간의 연속인 朝鮮史上에서 가장 긴장되려고 된 의미기푼 순간이나 장면이나 인물을 적발하야 생명을 부어서 그러고 충분이 그 시대의 史的背景을 살리면서 우리의 아패 재현식혀 준다면 그 작가가 엇더한 분이건 위대한 작가라고 부르는데 우리는 주저하지 안으련다. / 年前에 林巨正傳이 同紙에 연재되엿슬 때에 이르킨 物論을 이번에도 다시 이르키리라고 생각된다.,,
,김기림,criticize,명일(최독견),2,신문소설 올림픽 시대,,정성훈,Confirmed,그런데 우연이 가튼 시간 京城驛에서 나린 미지의 두 남녀가 우연이 가튼 여관에 드럿다. 또 우연이 아래 웃방에 손님되엿다. 필경 우연이 서로 알게 되고 그것이 우연이 연애에까지 발전할 것은 물론이다. 결론이 너무나 환해보이고 그우에 그 우연성이 인공적에 지나치게 흐르지나 안엇슬가?,,
,김기림,criticize,백구(염상섭),4,신문소설 올림픽 시대,,정성훈,Confirmed,"방대한 3부작을 계획하는 등 意氣 점점 왕성한 橫步가 『白鳩』 속에서 얼마나 아름운 이야기를 짜낼른지 下回를 보아야 알 일이지만 春園, 碧初 등의 노장을 흘겨보면서 步武當當하게 진을 펴는 것이 바라보는 사람의 가슴에 안심준다.",,
,김기림,criticize,표본실의 청개구리,4,신문소설 올림픽 시대,,정성훈,Confirmed,신문소설인 까닭에 『標本室의 靑개고리』흐르던 예술의 향기 노푸던 昔日의 자최는 얼마 보이지 안을 것은 예상과 과이 틀림이 없을 것이다.,,
,김기림,criticize,이태준,5,스타일리스트 이태준씨를 논함 (2),,정성훈,Confirmed,李泰俊氏의作品(主로그의隨筆)에서 내가바든印象은 『老熟하다』는것이엿다 그것은한거름나가서는 『ᄭᅫ건방지다』하는印象이기도하엿다 『老熟하다』는것『건방지다』는것──이것들은 大部分의사람을 그의作品에서隔離시키는 原因도되엿지만 ᄯᅩ한편으로는 一部의사람을 그에게로 ᄭᅳ러간魅力ᄋퟄᆨ도하다 意識的으로企圖하엿는지 혹은無意識사이에그의天才가 시킨일인지 그어느便인지는몰라도 그는우리文人中에서 그누구보다도 『文章』으로써讀者를 吸引하는분이다 (중략) 그는對象을 智的으로理解하려고하기前에 그의透明하고纖細한感性에依하야把握한다,,
