ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),작업자,근거 문장,다중언급(0/1),비고
,김기림,refer to,제임스 허네커,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,批評에잇서서는 이일은『ᄶᅦ임쓰휸키-』에서 비롯하야印象主義者들의一群의손으로 이루어젓다 『휸키-』의 사업은 『덴켄』이引繼하고잇섯다,0,
,김기림,refer to,H. L. 멘켄,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,批評에잇서서는 이일은『ᄶᅦ임쓰휸키-』에서 비롯하야印象主義者들의一群의손으로 이루어젓다 『휸키-』의 사업은 『덴켄』이引繼하고잇섯다 / 『멘켄』『켄비』와 『워-너-』等은 가튼考案으로다시도라갓다,1,
,김기림,refer to,T. S. 엘리엇,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,純粹한技術的批評이 旺盛해갓다 엇던ᄯᅢ는藝術至上主義의現論에서서 ᄯᅩ 엇던ᄯᅢ는 『엘리옷트』의事業에서와가티反動的哲學과 連結하야──,0,
,김기림,refer to,반 윅 브룩스,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그러고 다른派로는『반워・ᄲᅮ룩크』의派가잇섯다 그들은 個人的作家와 文化的地位와의사히에 密接한連結이 잇는것을認定하엿다,0,
,김기림,refer to,해리 핸슨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,이사벨 패터슨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,윌리엄 소스킨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,헨리 해즐릿,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다,1,
,김기림,refer to,조셉 우드 크러치,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다 그러나그는『크럿취』와『데비산』보다는낫부지안엇다,1,
,김기림,refer to,엘머 데이비스,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다 그러나그는『크럿취』와『데비산』보다는낫부지안엇다,1,
,김기림,refer to,노먼 토머스,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다,0,
,김기림,refer to,모던 먼슬리,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,一九三三年二月에『모던 먼틀리』에실린 그의論文에서보인것처름 이批評家들은 ᄯᅩᆨ가티『허수아비』의技術에ᄲᅡ젓다,0,
,김기림,refer to,헨리 세이델 캔비,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,『멘켄』『켄비』와 『워-너-』等은 가튼考案으로다시도라갓다,0,
,김기림,refer to,M. R. 워너,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,『멘켄』『켄비』와 『워-너-』等은 가튼考案으로다시도라갓다,0,
,김기림,refer to,반론(케네스 버크),,최근의 미국평론단 문학작품의 효과 문제: 그랜빌 힉스 뉴 매시즈지에서(중),정성훈,"單純化한 效果의槪念은『케네트,ᄲᅥ-크』가 그의 『反正明玉』속에서 提議한것과가튼 것이다 그는말한다 한개의藝術品에대하야 두가지의完全히다른判斷이나려저야한다 그것의效果는批評家의 社會的意見의 照明속에서判斷되여야하며 그效果를 엇는方法은 算學的標準에 依하야 判斷되여야한다고말한다",1,
,김기림,refer to,잃어버린 시간을 찾아서,,최근의 미국평론단 프루스트의 가치는 어떻게 규정할까?: 그랜빌 힉스 뉴 매시즈지에서(하),정성훈,例를들면『푸루-스트』의 『지나간날을차저서』라는作品은 지금ᄭᅡ지××的立場에서쓴어느小說에서 보다도더훌륭하고힘잇게『××××』文明의 沒落해가는모양을보여준다,1,
,김기림,refer to,V. F. 캘버튼,,최근의 미국평론단 프루스트의 가치는 어떻게 규정할까?: 그랜빌 힉스 뉴 매시즈지에서(하),정성훈,過去의文學은그技術 그갓스로訂正한것처럼혹은成功의見地에서 評價될수가잇다고한『캘버-튼』의理想은우수운것이다 / 『캘버-튼』自身도 그의 著書 『아메리카文學의自由』속에서비록그가 分明하게하지는안엇지만 그것과는 다른標準을事實로適用하는것을 分明히보혀주엇다,1,
,김기림,refer to,백화(박화성),,신문소설 올림픽 시대,정성훈,따라서 李光洙씨의 대작 『흙』과 南國의 才人 朴花城 여사의 소설 『白花』는 뭇끛이 사정없는 서리ㅅ발 아래 쓰러진 정원에 호을로 남어잇는 한떨기 白菊과가티 아모 『라이발』없이 화려하게 피여잇엇다.,0,
,김기림,refer to,해는 지평선에,,신문소설 올림픽 시대,정성훈,이밧게 每日申報 金東仁씨 作 『해는 地平線에』등 실로 신문이 잇은 후 이러케도 화려찬란하고 다산적인 신문소설 범람시대를 연출한 일이 잇은 것 갓지 안타.,1,읽지 않았다고 언급함.
,김기림,refer to,장자크 루소,,신문소설 올림픽 시대,정성훈,그런 까닭인지 『룻소』가 벌서 『자연에로 도라가라』고 부르지즌 것이 18세기 엿고 19세기 말엽부터 20세기 초에 이르기까지 대지의 생장이라는 작품이 인텔리겐챠의 신경을 굿세게 울렷고 『레르몬토쁘』의 『農民』이 또한 엇더한 감격을 도시의 紅塵에 시달린 무리의 감정을 잘 세탁해 주엇는가?,0,
,김기림,refer to,미하일 레르몬토프,,신문소설 올림픽 시대,정성훈,그런 까닭인지 『룻소』가 벌서 『자연에로 도라가라』고 부르지즌 것이 18세기 엿고 19세기 말엽부터 20세기 초에 이르기까지 대지의 생장이라는 작품이 인텔리겐챠의 신경을 굿세게 울렷고 『레르몬토쁘』의 『農民』이 또한 엇더한 감격을 도시의 紅塵에 시달린 무리의 감정을 잘 세탁해 주엇는가?,0,
,김기림,refer to,단종애사,,신문소설 올림픽 시대,정성훈,그러나 氏는 항상 그의 작품의 周團에 엇던 유형의 一群의 독자를 吸引하고 잇다. 그럼으로 『端宗哀史』의 충실한 독자를 氏는 『흙』에 잇어서도 일허버리지 안코 잇으리라.,0,
,김기림,refer to,처녀의 화환,,신문소설 올림픽 시대,정성훈,"靑鳥社 繁盛하던 시절에 불량소녀, 소년을 마취시키던 『處女의 花環』 『永遠의 夢想』 등등 과는 다른 방법으로 獨鵑의 소설은 젊은 혼들을 惱殺시켜 마지안엇다.",0,
,김기림,refer to,영원의 몽상,,신문소설 올림픽 시대,정성훈,"靑鳥社 繁盛하던 시절에 불량소녀, 소년을 마취시키던 『處女의 花環』 『永遠의 夢想』 등등 과는 다른 방법으로 獨鵑의 소설은 젊은 혼들을 惱殺시켜 마지안엇다.",0,
,김기림,refer to,승방비곡,,신문소설 올림픽 시대,정성훈,僧房悲曲은 영화로만도 坊坊谷谷에까지 유포되엿스나 수만의 朝鮮日報 독자를 매료시키던 『香園艶史』의 인상은 아직도 우리들의 뇌리에서 아주 싸러저 버리지 안엇다.,0,
,김기림,refer to,향원염사,,신문소설 올림픽 시대,정성훈,僧房悲曲은 영화로만도 坊坊谷谷에까지 유포되엿스나 수만의 朝鮮日報 독자를 매료시키던 『香園艶史』의 인상은 아직도 우리들의 뇌리에서 아주 싸러저 버리지 안엇다.,0,
,김기림,refer to,레몽 라디게,,신문소설 올림픽 시대,정성훈,"白鳩- 펄펄나는 白鳩- 그것은 일즉이는 『다비테』에게 사탕을 바덧고 근래에 와서는 『비닭이와 조개와 장미』의 시인 『레이몽, 라디게』의 『파보리』엿든 산호빛의 발을 가진 사랑스러운 동물이다.",0,
